organization;key;uuid;name;long_name;path
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/views/portfolio/portfolio-asset.tsx;AYDjrBB3rLWdPHJuUEc7;portfolio-asset.tsx;components/brave_wallet_ui/components/desktop/views/portfolio/portfolio-asset.tsx;components/brave_wallet_ui/components/desktop/views/portfolio/portfolio-asset.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/desktop/select-network-dropdown/index.tsx;AXscaR-dpfYJg1OAROFq;index.tsx;components/brave_wallet_ui/components/desktop/select-network-dropdown/index.tsx;components/brave_wallet_ui/components/desktop/select-network-dropdown/index.tsx
brave;brave_brave-core:components/brave_new_tab_ui/components/default/braveToday/cards/PublisherMeta.tsx;AXWo5Hlh18NU4sH0GdXR;PublisherMeta.tsx;components/brave_new_tab_ui/components/default/braveToday/cards/PublisherMeta.tsx;components/brave_new_tab_ui/components/default/braveToday/cards/PublisherMeta.tsx
brave;brave_brave-core:build/ios/mojom/mojom_objc_generator.py;AXpfnV-ul7093k321jrh;mojom_objc_generator.py;build/ios/mojom/mojom_objc_generator.py;build/ios/mojom/mojom_objc_generator.py
brave;brave_brave-core:components/brave_wallet_ui/components/extension/connect-with-site-panel/index.tsx;AXhMPz0LOI70BsRYZdT-;index.tsx;components/brave_wallet_ui/components/extension/connect-with-site-panel/index.tsx;components/brave_wallet_ui/components/extension/connect-with-site-panel/index.tsx
brave;brave_brave-core:components/brave_rewards/resources/tip/components/tip_complete.tsx;AXUxz9zY5EVuqtm5Gybj;tip_complete.tsx;components/brave_rewards/resources/tip/components/tip_complete.tsx;components/brave_rewards/resources/tip/components/tip_complete.tsx
brave;brave_brave-core:components/brave_new_tab_ui/components/default/braveToday/cards/_articles/cardArticleLarge.tsx;AXWo5Hlh18NU4sH0GdXX;cardArticleLarge.tsx;components/brave_new_tab_ui/components/default/braveToday/cards/_articles/cardArticleLarge.tsx;components/brave_new_tab_ui/components/default/braveToday/cards/_articles/cardArticleLarge.tsx
brave;brave_brave-core:components/common/classnames.test.ts;AX845AKZdUHpwG2Va0q5;classnames.test.ts;components/common/classnames.test.ts;components/common/classnames.test.ts
brave;brave_brave-core:components/common/classnames.ts;AX845AKZdUHpwG2Va0q6;classnames.ts;components/common/classnames.ts;components/common/classnames.ts
brave;brave_brave-core:components/translate/core/browser/resources/brave_translate.js;AYGpTIyO7YicgOesTXB5;brave_translate.js;components/translate/core/browser/resources/brave_translate.js;components/translate/core/browser/resources/brave_translate.js
brave;brave_brave-core:browser/resources/settings/brave_help_tips_page/brave_help_tips_page.html;AXCqlRllsJcONJe09tUZ;brave_help_tips_page.html;browser/resources/settings/brave_help_tips_page/brave_help_tips_page.html;browser/resources/settings/brave_help_tips_page/brave_help_tips_page.html
brave;brave_brave-core:components/brave_wallet_ui/common/hooks/transaction-parser.test.tsx;AYHZWPZV7yL04gAevJeB;transaction-parser.test.tsx;components/brave_wallet_ui/common/hooks/transaction-parser.test.tsx;components/brave_wallet_ui/common/hooks/transaction-parser.test.tsx
brave;brave_brave-core:components/brave_wallet_ui/common/hooks/transaction-parser.ts;AXxe5ZoF5egd77q0MlWS;transaction-parser.ts;components/brave_wallet_ui/common/hooks/transaction-parser.ts;components/brave_wallet_ui/common/hooks/transaction-parser.ts
brave;brave_brave-core:components/brave_wallet_ui/components/extension/transaction-list-item/index.tsx;AX3e5XgVVQ-r2xrfxsX1;index.tsx;components/brave_wallet_ui/components/extension/transaction-list-item/index.tsx;components/brave_wallet_ui/components/extension/transaction-list-item/index.tsx
brave;brave_brave-core:components/brave_new_tab_ui/components/default/braveToday/useScrollIntoView.ts;AXWo5Hlh18NU4sH0GdXi;useScrollIntoView.ts;components/brave_new_tab_ui/components/default/braveToday/useScrollIntoView.ts;components/brave_new_tab_ui/components/default/braveToday/useScrollIntoView.ts
